id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
212	0	20957	5	20956	MOD	skipped 0 overlaps; used 60 overlaps
213	0	8286	31	8262	MOD	skipped 0 overlaps; used 23 overlaps
214	0	10984	233	10983	MOD	skipped 0 overlaps; used 33 overlaps
215	0	19437	1413	7413	MOD	skipped 0 overlaps; used 41 overlaps
216	0	10387	5984	10338	MOD	skipped 0 overlaps; used 39 overlaps
217	0	7626	11	7625	MOD	skipped 0 overlaps; used 37 overlaps
218	0	9327	36	9324	MOD	skipped 0 overlaps; used 40 overlaps
219	0	1208	0	1199	MOD	skipped 0 overlaps; used 26 overlaps
220	0	6056	41	6040	MOD	skipped 0 overlaps; used 28 overlaps
221	0	8181	20	8146	MOD	skipped 0 overlaps; used 58 overlaps
222	0	6108	186	6107	MOD	skipped 0 overlaps; used 25 overlaps
223	0	3498	19	3492	MOD	skipped 0 overlaps; used 23 overlaps
224	0	2397	270	2388	MOD	skipped 0 overlaps; used 15 overlaps
225	0	11149	0	11100	MOD	skipped 0 overlaps; used 48 overlaps
226	0	6628	246	6586	MOD	skipped 0 overlaps; used 17 overlaps
227	0	20392	0	20392	NOV
228	0	9821	293	9820	MOD	skipped 0 overlaps; used 47 overlaps
229	0	3509	2302	3445	MOD	skipped 0 overlaps; used 14 overlaps
230	0	20378	192	20366	MOD	skipped 0 overlaps; used 43 overlaps
231	0	12275	429	12274	MOD	skipped 0 overlaps; used 30 overlaps
232	0	23275	0	23275	NOV
233	0	7411	9	7348	MOD	skipped 0 overlaps; used 26 overlaps
234	0	9323	46	9304	MOD	skipped 0 overlaps; used 26 overlaps
235	0	1978	685	1916	MOD	skipped 0 overlaps; used 13 overlaps
236	0	14126	3712	14104	MOD	skipped 0 overlaps; used 26 overlaps
237	0	12492	1319	11144	MOD	skipped 0 overlaps; used 23 overlaps
238	0	1595	0	1595	NOV
239	0	9767	130	9766	MOD	skipped 0 overlaps; used 28 overlaps
240	0	13788	38	13778	MOD	skipped 0 overlaps; used 38 overlaps
241	0	14241	22	14240	MOD	skipped 0 overlaps; used 47 overlaps
242	0	0	0	0	NOV
243	0	9659	552	9641	MOD	skipped 0 overlaps; used 38 overlaps
244	0	6025	37	6025	MOD	skipped 0 overlaps; used 24 overlaps
245	0	6254	0	6253	MOD	skipped 0 overlaps; used 21 overlaps
246	0	4640	252	4639	MOD	skipped 0 overlaps; used 13 overlaps
247	0	5797	256	5787	MOD	skipped 0 overlaps; used 36 overlaps
248	0	7637	329	7636	MOD	skipped 0 overlaps; used 31 overlaps
249	0	8771	224	8738	MOD	skipped 0 overlaps; used 252 overlaps
250	0	2634	463	2609	MOD	skipped 0 overlaps; used 30 overlaps
251	0	1964	0	1923	MOD	skipped 0 overlaps; used 23 overlaps
252	0	1958	0	1943	MOD	skipped 0 overlaps; used 24 overlaps
253	0	8651	32	8650	MOD	skipped 0 overlaps; used 27 overlaps
254	0	15534	357	15488	MOD	skipped 0 overlaps; used 45 overlaps
255	0	16635	599	16602	MOD	skipped 0 overlaps; used 35 overlaps
256	0	1733	38	1726	MOD	skipped 0 overlaps; used 7 overlaps
257	0	26940	76	26939	MOD	skipped 0 overlaps; used 100 overlaps
258	0	13445	39	13444	MOD	skipped 0 overlaps; used 34 overlaps
259	0	7727	9	7721	MOD	skipped 0 overlaps; used 26 overlaps
