     read       raw corrected
       id    length    length
--------- --------- ---------
     1428      3745      3682
     1429      5930      5587
     1430     15529     16769
     1431      5370      5116
     1432     33518     32342
     1433      8332      7267
     1434      3913      3625
     1435     21358     20173
     1436     13629     12913
     1437      5512      5251
     1438     18956     17555
     1439      7501      7501
     1440     17597     16658
     1441      5409      5065
     1442     16888     15432
     1443     10215      9913
     1444      9708      9113
     1445     13519     13071
     1446      3965      3767
     1447      6824      6183
     1448      6280      6280
     1449      8245      7364
     1450      3318      3273
     1451      1004       945
     1452      4487      4487
     1453      2222      2222
     1454      9457      8028
     1455      7959      7433
     1456      9223      8574
     1457     15419     14664
     1458     12427     11626
     1459      3677      3600
     1460      1089      1089
     1461     17139     17005
     1462     12991     11652
     1463     12473     12009
     1464      5087      4362
     1465     14825     14505
     1466     13938     13316
     1467      2764      2413
     1468      4901      4717
     1470      1583      1508
     1471      1251      1251
     1472     13801     12460
     1473      7629      6534
     1474      4823      4432
     1475     13045     11905
     1476      8483      8153
     1478     19926     20846
     1479     13889     14132
     1480     15359     14646
     1481      5385      5239
     1482     12333     11741
     1483      3902      3664
     1484      7733      6501
     1485      9019      8349
     1486     12905     12689
     1487     26769     24187
     1488      5872      4980
     1489      6055      5992
     1490      6866      6493
     1491     21481     20058
     1492     12664     11546
     1493     20813     18996
     1494     12579     12420
     1495      9280      7875
     1496      5032      4993
     1497     27442     25859
     1498      4722      4602
     1499     19870     19086
     1500      9883      9466
     1501     13526     11910
     1502     20729     19063
     1503     13391     12276
